i lsa bert
1 1.000000 1.000000
2 0.507680 0.923500
3 0.419971 0.707147
4 0.390142 0.656267
5 0.374599 0.602317
6 0.356503 0.585009
7 0.345439 0.541669
8 0.332039 0.534020
9 0.324553 0.518069
10 0.314253 0.493860
11 0.310704 0.487219
12 0.302479 0.482277
13 0.293451 0.470039
14 0.288801 0.457548
15 0.286970 0.451051
16 0.284465 0.443737
17 0.283520 0.441042
18 0.280723 0.425491
19 0.277396 0.422614
20 0.273756 0.414321
21 0.273127 0.411983
22 0.270232 0.400145
23 0.268548 0.396318
24 0.266616 0.391659
25 0.265979 0.387833
26 0.263830 0.383906
27 0.258756 0.381936
28 0.257371 0.376562
29 0.256020 0.369788
30 0.253588 0.368795
31 0.251781 0.361985
32 0.250458 0.359919
33 0.248978 0.356973
34 0.247123 0.353789
35 0.246578 0.350904
36 0.244592 0.348095
37 0.243487 0.344572
38 0.242370 0.343287
39 0.240271 0.336146
40 0.240150 0.333418
41 0.238725 0.330018
42 0.237892 0.329258
43 0.235987 0.324782
44 0.235264 0.322998
45 0.234653 0.321527
46 0.233864 0.318961
47 0.232685 0.316776
48 0.231709 0.312874
49 0.230701 0.311423
50 0.230538 0.310127
51 0.229962 0.308824
52 0.228851 0.306326
53 0.228464 0.305802
54 0.227024 0.302442
55 0.226702 0.300665
56 0.225385 0.300139
57 0.225126 0.299006
58 0.224153 0.297283
59 0.222764 0.295132
60 0.221896 0.293068
61 0.221430 0.292561
62 0.221267 0.289972
63 0.219919 0.289463
64 0.219084 0.286640
65 0.218217 0.284743
66 0.217514 0.284136
67 0.216198 0.283600
68 0.215529 0.281588
69 0.214656 0.280309
70 0.214439 0.279679
71 0.213293 0.277888
72 0.213133 0.276333
73 0.212406 0.274716
74 0.211386 0.272859
75 0.210691 0.270992
76 0.210207 0.269282
77 0.209617 0.268466
78 0.209191 0.267641
79 0.208780 0.266601
80 0.208250 0.266121
81 0.207756 0.264351
82 0.207104 0.263054
83 0.205705 0.262063
84 0.205557 0.260178
85 0.205106 0.259434
86 0.203866 0.259219
87 0.203555 0.257094
88 0.202822 0.256005
89 0.202312 0.254643
90 0.201874 0.253419
91 0.201254 0.253145
92 0.200831 0.251651
93 0.200300 0.250176
94 0.199920 0.248378
95 0.199245 0.248055
96 0.199118 0.247310
97 0.198648 0.245873
98 0.198035 0.244407
99 0.197565 0.243520
100 0.197195 0.242870
101 0.196643 0.241804
102 0.196014 0.240572
103 0.195520 0.239952
104 0.194725 0.239286
105 0.194272 0.237877
106 0.193820 0.236999
107 0.193447 0.236175
108 0.193189 0.235039
109 0.192671 0.234490
110 0.192600 0.233790
111 0.192122 0.233118
112 0.191204 0.231154
113 0.190707 0.230495
114 0.190424 0.230061
115 0.190253 0.228275
116 0.189801 0.228172
117 0.189549 0.227828
118 0.188838 0.225446
119 0.188580 0.225218
120 0.188323 0.223873
121 0.187793 0.223545
122 0.187702 0.223102
123 0.186667 0.222732
124 0.186200 0.221424
125 0.185372 0.220321
126 0.185009 0.219559
127 0.184557 0.219329
128 0.184342 0.218268
129 0.183963 0.217849
130 0.183457 0.216680
131 0.183200 0.215864
132 0.183021 0.214210
133 0.182626 0.213500
134 0.181898 0.212931
135 0.181647 0.212228
136 0.181585 0.211520
137 0.181348 0.210737
138 0.181172 0.208921
139 0.180720 0.207673
140 0.180572 0.207243
141 0.180047 0.206812
142 0.179216 0.206461
143 0.179024 0.205575
144 0.178582 0.205142
145 0.178045 0.204306
146 0.177809 0.203731
147 0.177551 0.202725
148 0.177280 0.202356
149 0.176854 0.201515
150 0.176267 0.200776
151 0.176013 0.199676
152 0.175573 0.198593
153 0.175322 0.198085
154 0.175255 0.197717
155 0.174514 0.196667
156 0.174422 0.195801
157 0.173993 0.195270
158 0.173788 0.195058
159 0.173380 0.194511
160 0.173114 0.193594
161 0.172958 0.193094
162 0.172495 0.192829
163 0.171859 0.191391
164 0.171617 0.191177
165 0.171283 0.189781
166 0.170613 0.188668
167 0.170458 0.188459
168 0.170044 0.188370
169 0.169829 0.187630
170 0.169071 0.187057
171 0.168929 0.186444
172 0.168556 0.185935
173 0.168436 0.184661
174 0.168130 0.183277
175 0.167754 0.183135
176 0.167109 0.182783
177 0.166953 0.181787
178 0.166643 0.180636
179 0.166322 0.180255
180 0.165999 0.179952
181 0.165474 0.178787
182 0.165292 0.178359
183 0.165176 0.177935
184 0.164967 0.176369
185 0.164878 0.175735
186 0.164650 0.175477
187 0.164488 0.174963
188 0.163981 0.173980
189 0.163515 0.173723
190 0.163123 0.173487
191 0.162743 0.171342
192 0.162460 0.171278
193 0.162033 0.170897
194 0.161731 0.170372
195 0.161161 0.169943
196 0.161093 0.169118
197 0.160988 0.168645
198 0.160632 0.168493
199 0.160127 0.166725
200 0.159926 0.166167
201 0.159688 0.165498
202 0.158813 0.164895
203 0.158676 0.164631
204 0.158354 0.163723
205 0.158277 0.163520
206 0.157950 0.162446
207 0.157633 0.161949
208 0.157396 0.160481
209 0.156615 0.160322
210 0.155916 0.159783
211 0.155638 0.158909
212 0.155463 0.158403
213 0.155271 0.158204
214 0.155008 0.157251
215 0.154607 0.156792
216 0.154517 0.155193
217 0.154048 0.154766
218 0.153425 0.154065
219 0.153307 0.153908
220 0.152951 0.153294
221 0.152741 0.153091
222 0.152533 0.151877
223 0.152112 0.151119
224 0.151882 0.151018
225 0.151572 0.149761
226 0.151308 0.149212
227 0.151170 0.148230
228 0.150769 0.147220
229 0.150326 0.147169
230 0.149709 0.146254
231 0.149415 0.145904
232 0.149155 0.144997
233 0.148846 0.144237
234 0.148541 0.143539
235 0.148517 0.143140
236 0.148398 0.142409
237 0.147308 0.141668
238 0.147152 0.141092
239 0.146874 0.140803
